3.77	1400	460	50	1400	75	1
3.77	1400	600	50	1400	75	1
3.77	1400	1000	50	1400	75	1
3.77	1400	2700	50	1400	75	1
3.77	1400	3000	50	1400	75	1
3.77	1500	140	50	1500	75	1
3.77	1500	220	50	1500	75	1
3.77	1500	340	50	1500	75	1
3.77	1500	500	50	1500	75	1
3.77	1500	1200	50	1500	75	1
3.77	1500	1700	50	1500	75	1
3.77	1600	380	50	1600	75	1
3.77	1600	600	50	1600	75	1
3.77	1600	2200	50	1600	75	1
3.77	1600	2300	50	1600	75	1
3.77	1600	2700	50	1600	75	1
3.77	1600	3360	50	1600	75	1
3.77	1700	460	50	1700	75	1
3.77	1700	600	50	1700	75	1
3.77	1700	1400	50	1700	75	1
3.77	1700	1600	50	1700	75	1
3.77	1700	2100	50	1700	75	1
3.77	1700	3360	50	1700	75	1
3.77	1800	60	50	1800	75	1
3.77	1800	100	50	1800	75	1
3.77	1800	500	50	1800	75	1
3.77	1800	800	50	1800	75	1
3.77	1800	1100	50	1800	75	1
3.77	1800	1600	50	1800	75	1
3.77	1800	3180	50	1800	75	1
3.77	1800	3180	50	1800	75	1
3.77	1800	3540	50	1800	75	1
3.77	1900	900	50	1900	75	1
3.77	1900	1000	50	1900	75	1
3.77	1900	2200	50	1900	75	1
3.77	1900	2300	50	1900	75	1
3.77	1900	2500	50	1900	75	1
3.77	1900	2700	50	1900	75	1
3.77	2000	420	50	2000	75	1
3.77	2000	800	50	2000	75	1
3.77	2000	1200	50	2000	75	1
3.77	2000	1400	50	2000	75	1
3.77	2000	1500	50	2000	75	1
3.77	2000	1900	50	2000	75	1
3.77	2000	2800	50	2000	75	1
3.77	2100	220	50	2100	75	1
3.77	2100	380	50	2100	75	1
3.77	2100	600	50	2100	75	1
3.77	2100	700	50	2100	75	1
3.77	2100	800	50	2100	75	1
3.77	2100	2100	50	2100	75	1
3.77	2100	2700	50	2100	75	1
3.77	2200	60	50	2200	75	1
3.77	2200	300	50	2200	75	1
3.77	2200	460	50	2200	75	1
3.77	2200	800	50	2200	75	1
3.77	2200	2200	50	2200	75	1
3.77	2200	2400	50	2200	75	1
3.77	2200	3540	50	2200	75	1
3.77	2300	60	50	2300	75	1
3.77	2300	100	50	2300	75	1
3.77	2300	500	50	2300	75	1
3.77	2300	900	50	2300	75	1
3.77	2300	1900	50	2300	75	1
3.77	2300	2300	50	2300	75	1
3.77	2400	300	50	2400	75	1
3.77	2400	380	50	2400	75	1
3.77	2400	800	50	2400	75	1
3.77	2400	1600	50	2400	75	1
3.77	2400	2500	50	2400	75	1
3.77	2400	2600	50	2400	75	1
3.77	2400	3720	50	2400	75	1
3.77	2500	220	50	2500	75	1
3.77	2500	300	50	2500	75	1
3.77	2500	420	50	2500	75	1
3.77	2500	580	50	2500	75	1
3.77	2500	1300	50	2500	75	1
3.77	2500	2500	50	2500	75	1
3.77	2500	2600	50	2500	75	1
3.77	2600	260	50	2600	75	1
3.77	2600	340	50	2600	75	1
3.77	2600	540	50	2600	75	1
3.77	2600	600	50	2600	75	1
3.77	2600	800	50	2600	75	1
3.77	2600	1200	50	2600	75	1
3.77	2600	1400	50	2600	75	1
3.77	2600	1800	50	2600	75	1
3.77	2600	2800	50	2600	75	1
3.77	2700	180	50	2700	75	1
3.77	2700	700	50	2700	75	1
3.77	2700	1200	50	2700	75	1
3.77	2700	1800	50	2700	75	1
3.77	2700	2600	50	2700	75	1
3.77	2700	3000	50	2700	75	1
3.77	2800	180	50	2800	75	1
3.77	2800	580	50	2800	75	1
3.77	2800	1700	50	2800	75	1
3.77	2800	1800	50	2800	75	1
3.77	2800	2500	50	2800	75	1
3.77	2800	2600	50	2800	75	1
3.77	2800	3720	50	2800	75	1
3.77	3000	100	50	3000	75	1
3.77	3000	260	50	3000	75	1
3.77	3000	380	50	3000	75	1
3.77	3000	540	50	3000	75	1
3.77	3000	900	50	3000	75	1
3.77	3000	1000	50	3000	75	1
3.77	3000	2200	50	3000	75	1
3.77	3180	420	50	3180	75	1
3.77	3180	900	50	3180	75	1
3.77	3180	1300	50	3180	75	1
3.77	3180	2300	50	3180	75	1
3.77	3180	2600	50	3180	75	1
3.77	3180	2800	50	3180	75	1
3.77	3180	3000	50	3180	75	1
3.77	3180	3360	50	3180	75	1
3.77	3360	20	50	3360	75	1
3.77	3360	60	50	3360	75	1
3.77	3360	180	50	3360	75	1
3.77	3360	500	50	3360	75	1
3.77	3360	700	50	3360	75	1
3.77	3360	1000	50	3360	75	1
3.77	3360	1300	50	3360	75	1
